1;465561,293;8652098,825;246,148;0,005700;0,009700
2;465663,601;8651942,266;265,747;0,006200;0,010000
3;465720,817;8651857,653;276,628;0,008600;0,012000
4;465789,541;8651757,535;283,633;0,007100;0,012700
5ramon/faz,caguido;465860,179;8651657,855;270,770;0,005700;0,008600
6;465942,679;8651657,808;289,627;0,932400;1,895000
7;466112,331;8651661,381;316,795;0,006600;0,012700
8;466227,754;8651663,376;325,910;0,006400;0,011000
9;466379,379;8651663,585;344,839;0,026900;0,046000
10;466531,295;8651664,436;373,484;0,010800;0,018000
11;466614,055;8651664,655;390,353;0,017900;0,037700
13;466751,103;8651756,155;409,414;0,012300;0,024700
14;466808,148;8651951,748;383,406;0,022600;0,047000
15;466834,182;8652001,272;382,462;0,008500;0,021000
16;466907,119;8652084,518;380,912;0,060200;0,105000
17;466911,289;8652109,556;381,514;0,012100;0,030700
18;466930,397;8652247,145;363,060;0,007800;0,021000
19;466947,228;8652332,838;353,954;0,029700;0,116000
20;466962,097;8652353,941;358,636;0,461600;1,873000
21;466988,658;8652403,315;364,323;0,948800;1,513000
22;467015,745;8652434,522;362,078;2,758300;6,840000
23;467045,819;8652458,943;369,346;1,160700;2,378000
24;467268,679;8652575,127;427,517;0,086100;0,133000
25;467309,863;8652596,757;432,853;0,037500;0,098000
26;467327,793;8652615,206;432,752;0,930700;1,647000
27;467390,732;8652699,115;447,923;0,010600;0,026000
28faz,caguido/ze mota;467412,156;8652705,741;446,123;0,608800;1,104000
29;467394,471;8652731,088;440,663;0,043600;0,083000
30;467335,605;8652761,991;413,643;0,216200;0,424000
31;467308,772;8652822,904;385,972;0,011200;0,021000
32;467263,020;8653001,768;329,419;0,008300;0,014700
33;467235,599;8653106,282;311,831;0,056900;0,089000
34;467215,122;8653179,881;318,878;0,026100;0,033300
35ze mota/tone;467195,691;8653253,355;314,277;0,009800;0,013000
36;467031,336;8653256,790;345,507;0,008300;0,012700
37;466899,751;8653260,204;343,358;0,008600;0,013000
38;466784,080;8653262,499;332,433;0,008300;0,012000
39tone/estrada;466660,396;8653265,689;307,144;0,008300;0,012000
40estrada/tone;466652,491;8653265,834;306,476;0,012800;0,018000
41;466526,992;8653268,993;331,704;0,010900;0,014300
42;466481,670;8653270,322;334,109;0,010800;0,015300
43;466423,665;8653271,287;327,610;0,009700;0,015000
44;466411,244;8653217,673;322,834;0,057800;0,069400
45;466378,918;8653219,686;324,632;0,010900;0,015700
46;466359,375;8653221,146;323,263;0,019600;0,026000
47;466326,816;8653223,483;314,750;0,012400;0,017300
48;466276,043;8653225,850;326,974;0,010800;0,014000
49;466173,652;8653230,263;337,466;0,013500;0,018000
50;466047,515;8653233,653;334,949;0,013000;0,017000
51;465959,697;8653236,729;334,862;0,008300;0,011300
52;465742,185;8653244,789;328,531;0,010200;0,015300
53;465672,554;8653243,756;325,190;0,010200;0,013700
54;465609,088;8653242,563;330,408;0,009000;0,013000
55;465578,166;8653127,100;321,022;0,010600;0,017000
56;465545,737;8653006,422;291,708;0,016000;0,026700
57;465496,817;8652823,764;260,784;0,012500;0,020700
58tone/ramon;465452,471;8652659,375;254,286;0,009700;0,015700
59;465518,443;8652657,482;251,012;0,011600;0,019300
60;465527,714;8652535,208;240,612;0,011400;0,019300
61;465540,236;8652360,109;231,505;0,009700;0,017000
62;465544,211;8652298,745;231,811;0,009900;0,017300
63;465554,263;8652148,943;243,060;0,012200;0,022000
64;465557,705;8652098,854;245,624;0,008700;0,015000
12;466755,779;8651665,532;410,296;0,961100;1,958000
