QRCODE;CODIGO;METODO_POSICIONAMENTO;TIPO_VERTICE;SIGMA_X;SIGMA_Y;SIGMA_Z;LADO;INDICE;X;Y;Z;GEOMETRIA_WKT;
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10157;PG6;P;0,0077;0,0077;0,0117;EXTERNO;1;39 18 44,772 W;12 10 46,573 S;269.966;POINT (-39.3124366699999968 -12.1796036099999991);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10158;PG6;P;0,0073;0,0073;0,0133;EXTERNO;2;39 18 43,396 W;12 10 46,648 S;273.899;POINT (-39.3120544399999972 -12.1796244399999996);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10159;PG6;P;0,006;0,006;0,0097;EXTERNO;3;39 18 39,386 W;12 10 46,820 S;280.811;POINT (-39.3109405599999988 -12.1796722200000005);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10160;PG6;P;0,005;0,005;0,009;EXTERNO;4;39 18 36,959 W;12 10 46,921 S;282.867;POINT (-39.3102663900000024 -12.1797002800000005);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10161;PG6;P;0,0057;0,0057;0,0097;EXTERNO;5;39 18 34,309 W;12 10 47,083 S;284.475;POINT (-39.3095302799999970 -12.1797452800000006);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10162;PG6;P;0,0071;0,0071;0,0113;EXTERNO;6;39 18 32,484 W;12 10 47,206 S;285.605;POINT (-39.3090233300000023 -12.1797794400000008);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10163;PG6;P;0,0071;0,0071;0,0123;EXTERNO;7;39 18 32,185 W;12 10 47,318 S;285.264;POINT (-39.3089402800000016 -12.1798105600000000);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10164;PG6;P;0,006;0,006;0,0097;EXTERNO;8;39 18 29,946 W;12 10 47,388 S;285.923;POINT (-39.3083183299999988 -12.1798300000000008);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10165;PG6;P;0,0074;0,0074;0,012;EXTERNO;9;39 18 29,301 W;12 10 47,419 S;285.636;POINT (-39.3081391699999969 -12.1798386099999991);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10166;PG6;P;0,0096;0,0096;0,0153;EXTERNO;10;39 18 27,211 W;12 10 47,513 S;284.717;POINT (-39.3075586100000010 -12.1798647199999994);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10167;PG6;P;0,0094;0,0094;0,0117;EXTERNO;11;39 18 23,115 W;12 10 47,705 S;277.1;POINT (-39.3064208300000004 -12.1799180600000003);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10168;PG6;P;0,0067;0,0067;0,0107;EXTERNO;12;39 18 21,204 W;12 10 47,796 S;269.742;POINT (-39.3058899999999980 -12.1799433300000004);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10169;PG6;P;0,0059;0,0059;0,0097;EXTERNO;13;39 18 18,577 W;12 10 47,891 S;278.487;POINT (-39.3051602800000026 -12.1799697200000008);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10170;PG6;P;0,0095;0,0095;0,0153;EXTERNO;14;39 18 15,706 W;12 10 48,013 S;282.383;POINT (-39.3043627799999982 -12.1800036100000000);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-M-3148;PG6;M;0,0062;0,0062;0,0089;EXTERNO;15;39 18 12,246 W;12 10 48,157 S;282.773;POINT (-39.3034016699999995 -12.1800436100000002);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10200;PG6;P;0,0066;0,0066;0,0103;EXTERNO;16;39 18 12,713 W;12 10 48,707 S;286.733;POINT (-39.3035313900000034 -12.1801963900000008);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10201;PG6;P;0,008;0,008;0,0137;EXTERNO;17;39 18 14,064 W;12 10 49,396 S;292.526;POINT (-39.3039066700000035 -12.1803877800000002);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10202;PG6;P;0,0097;0,0097;0,016;EXTERNO;18;39 18 15,432 W;12 10 50,079 S;293.837;POINT (-39.3042866700000033 -12.1805775000000001);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10203;PG6;P;0,0072;0,0072;0,011;EXTERNO;19;39 18 17,055 W;12 10 50,839 S;294.681;POINT (-39.3047375000000017 -12.1807886100000005);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10204;PG6;P;0,0052;0,0052;0,009;EXTERNO;20;39 18 18,752 W;12 10 51,587 S;297.346;POINT (-39.3052088900000030 -12.1809963900000007);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10205;PG6;P;0,005;0,005;0,0083;EXTERNO;21;39 18 19,889 W;12 10 52,179 S;298.795;POINT (-39.3055247200000011 -12.1811608299999996);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10206;PG6;P;0,005;0,005;0,008;EXTERNO;22;39 18 20,246 W;12 10 52,399 S;299.797;POINT (-39.3056238899999997 -12.1812219400000004);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10207;PG6;P;0,0076;0,0076;0,012;EXTERNO;23;39 18 21,023 W;12 10 53,008 S;302.865;POINT (-39.3058397200000016 -12.1813911099999999);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10208;PG6;P;0,0131;0,0131;0,0223;EXTERNO;24;39 18 21,976 W;12 10 53,909 S;306.209;POINT (-39.3061044399999986 -12.1816413899999993);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10209;PG6;P;0,0069;0,0069;0,0117;EXTERNO;25;39 18 22,439 W;12 10 54,402 S;307.793;POINT (-39.3062330599999967 -12.1817783300000002);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10210;PG6;P;0,0057;0,0057;0,0083;EXTERNO;26;39 18 23,060 W;12 10 55,133 S;311.028;POINT (-39.3064055600000017 -12.1819813900000007);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10211;PG6;P;0,0163;0,0163;0,029;EXTERNO;27;39 18 23,268 W;12 10 55,776 S;309.004;POINT (-39.3064633299999997 -12.1821599999999997);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-M-3152;PG6;M;0,0071;0,0071;0,012;EXTERNO;28;39 18 23,572 W;12 10 56,369 S;307.268;POINT (-39.3065477800000025 -12.1823247200000004);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10212;PG6;P;0,006;0,006;0,0088;EXTERNO;29;39 18 27,594 W;12 10 56,277 S;331.756;POINT (-39.3076650000000001 -12.1822991700000003);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10213;PG6;P;0,0064;0,0064;0,011;EXTERNO;30;39 18 29,206 W;12 10 56,221 S;334.354;POINT (-39.3081127800000019 -12.1822836100000007);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10214;PG6;P;0,0057;0,0057;0,0107;EXTERNO;31;39 18 31,135 W;12 10 56,199 S;327.834;POINT (-39.3086486099999988 -12.1822774999999996);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10215;PG6;P;0,0172;0,0172;0,0233;EXTERNO;32;39 18 31,547 W;12 10 57,934 S;323.101;POINT (-39.3087630599999969 -12.1827594399999999);
ef28d443-2bdb-400e-86d9-3fa37b2eeac8;DSBN-P-10216;PG6;P;0,0068;0,0068;0,011;EXTERNO;33;39 18 33,211 W;12 10 57,829 S;323.634;POINT (-39.3092252799999997 -12.1827302799999995);
