QRCODE;CODIGO;METODO_POSICIONAMENTO;TIPO_VERTICE;SIGMA_X;SIGMA_Y;SIGMA_Z;LADO;INDICE;X;Y;Z;GEOMETRIA_WKT;
0ffeaaf3-cacd-483a-97b7-01357d02aa0b;AC9-M-RL17;PG2;M;0,061;0,017;0,055;EXTERNO;1;463774,53;8652703,06;296.605;POINT (-39.3330040203754550 -12.1873874856502358);
0ffeaaf3-cacd-483a-97b7-01357d02aa0b;AC9-M-RL16;PG2;M;0,061;0,017;0,053;EXTERNO;2;465452,83;8652659,17;259.555;POINT (-39.3175768254953653 -12.1878025791085705);
0ffeaaf3-cacd-483a-97b7-01357d02aa0b;AC9-M-RL15;PG2;M;0,061;0,017;0,053;EXTERNO;3;465519,03;8652657,53;252.48;POINT (-39.3169683023661705 -12.1878181096983891);
0ffeaaf3-cacd-483a-97b7-01357d02aa0b;AC9-M-RL14;PG2;M;0,061;0,017;0,054;EXTERNO;4;465557,69;8652099,00;250.664;POINT (-39.3166189130228432 -12.1928693739698755);
0ffeaaf3-cacd-483a-97b7-01357d02aa0b;AC9-M-RL13;PG2;M;0,008;0,009;0,023;EXTERNO;5;465561,20;8652098,93;247.438;POINT (-39.3165866476307855 -12.1928700440328601);
0ffeaaf3-cacd-483a-97b7-01357d02aa0b;AC9-M-RL12;PG2;M;0,004;0,003;0,009;EXTERNO;6;465562,72;8652094,41;251.712;POINT (-39.3165727233161206 -12.1929109349878910);
0ffeaaf3-cacd-483a-97b7-01357d02aa0b;AC9-M-RL11;PG2;M;0,061;0,017;0,054;EXTERNO;7;465564,97;8652086,75;251.971;POINT (-39.3165521220550929 -12.1929802290503879);
0ffeaaf3-cacd-483a-97b7-01357d02aa0b;AC9-M-RL49;PG2;M;0,065;0,026;0,09;EXTERNO;8;465859,54;8651657,40;269.903;POINT (-39.3138488134972874 -12.1968659893084403);
0ffeaaf3-cacd-483a-97b7-01357d02aa0b;AC9-M-RL48;PG2;M;0,061;0,017;0,053;EXTERNO;9;465130,24;8651647,59;224.17;POINT (-39.3205532075130364 -12.1969469882515078);
0ffeaaf3-cacd-483a-97b7-01357d02aa0b;AC9-M-RL47;PG2;M;0,062;0,02;0,059;EXTERNO;10;465128,91;8651603,17;224.312;POINT (-39.3205659165946528 -12.1973486692604745);
0ffeaaf3-cacd-483a-97b7-01357d02aa0b;AC9-M-RL46;PG2;M;0,003;0,002;0,006;EXTERNO;11;465122,99;8651570,81;224.766;POINT (-39.3206206895920687 -12.1976412412050763);
0ffeaaf3-cacd-483a-97b7-01357d02aa0b;AC9-M-RL45;PG2;M;0,061;0,017;0,053;EXTERNO;12;465107,42;8651506,55;224.673;POINT (-39.3207645201661009 -12.1982221853021109);
0ffeaaf3-cacd-483a-97b7-01357d02aa0b;AC9-M-RL44;PG2;M;0,061;0,017;0,053;EXTERNO;13;465107,65;8651502,57;224.817;POINT (-39.3207624490987371 -12.1982581793617992);
0ffeaaf3-cacd-483a-97b7-01357d02aa0b;AC9-M-RL43;PG2;M;0,061;0,017;0,053;EXTERNO;14;465221,78;8651044,73;250.612;POINT (-39.3197182363719833 -12.2023996980005229);
0ffeaaf3-cacd-483a-97b7-01357d02aa0b;AC9-M-RL42;PG2;M;0,276;0,137;0,248;EXTERNO;15;464835,93;8651038,29;216.791;POINT (-39.3232654095436160 -12.2024537973236455);
0ffeaaf3-cacd-483a-97b7-01357d02aa0b;AC9-M-RL41;PG2;M;0,061;0,018;0,054;EXTERNO;16;464827,15;8651037,15;217.659;POINT (-39.3233461362121872 -12.2024640117706493);
