QRCODE;CODIGO;METODO_POSICIONAMENTO;TIPO_VERTICE;SIGMA_X;SIGMA_Y;SIGMA_Z;LADO;INDICE;X;Y;Z;GEOMETRIA_WKT;
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;DSBN-M-3147;PG6;M;0,0069;0,0069;0,0103;EXTERNO;1;39 18 55,609 W;12 10 47,799 S;272.992;POINT (-39.3154469400000011 -12.1799441700000006);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;DSBN-P-10228;PG6;P;0,0064;0,0064;0,0089;EXTERNO;2;39 18 56,098 W;12 10 49,685 S;279.112;POINT (-39.3155827799999997 -12.1804680600000008);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;DSBN-P-10227;PG6;P;0,008;0,008;0,013;EXTERNO;3;39 18 56,457 W;12 10 51,103 S;281.613;POINT (-39.3156825000000012 -12.1808619399999998);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;DSBN-P-10226;PG6;P;0,0057;0,0057;0,009;EXTERNO;4;39 18 57,083 W;12 10 53,420 S;299.748;POINT (-39.3158563900000004 -12.1815055599999997);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;DSBN-P-10225;PG6;P;0,0088;0,0088;0,012;EXTERNO;5;39 18 57,592 W;12 10 55,311 S;317.809;POINT (-39.3159977799999965 -12.1820308300000004);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;DSBN-M-3153;PG6;M;0,0078;0,0078;0,0117;EXTERNO;6;39 18 58,075 W;12 10 57,101 S;330.526;POINT (-39.3161319399999982 -12.1825280599999992);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;AC9-M-RL16;PG2;M;0,061;0,017;0,053;EXTERNO;7;39 19 03,277 W;12 11 16,089 S;259.555;POINT (-39.3175768254953653 -12.1878025791085705);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;AC9-M-RL17;PG2;M;0,061;0,017;0,055;EXTERNO;8;39 19 58,814 W;12 11 14,595 S;296.605;POINT (-39.3330040203754550 -12.1873874856502358);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;CCIM-M-9317;PG6;M;0,001;0,001;0,001;EXTERNO;9;39 19 59,397 W;12 11 08,069 S;358.192;POINT (-39.3331658299999987 -12.1855747200000000);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;CCIM-M-9318;PG6;M;0,003;0,003;0,007;EXTERNO;10;39 19 59,650 W;12 11 05,532 S;367.461;POINT (-39.3332361100000014 -12.1848700000000001);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;CCIM-M-9319;PG6;M;0,003;0,003;0,007;EXTERNO;11;39 19 59,703 W;12 11 04,227 S;364.817;POINT (-39.3332508299999972 -12.1845075000000005);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;CCIM-M-9320;PG6;M;0,004;0,004;0,012;EXTERNO;12;39 19 59,921 W;12 11 03,590 S;358.207;POINT (-39.3333113899999987 -12.1843305599999994);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;GOJA-M-179;PG6;M;0,0;0,0;0,0;EXTERNO;13;39 20 01,465 W;12 11 03,744 S;346.26;POINT (-39.3337402800000007 -12.1843733299999997);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;GOJA-P-314;PG6;P;0,0;0,0;0,0;EXTERNO;14;39 20 01,430 W;12 11 03,120 S;338.58;POINT (-39.3337305599999993 -12.1842000000000006);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;GOJA-P-313;PG6;P;0,0;0,0;0,0;EXTERNO;15;39 20 01,289 W;12 11 02,068 S;331.22;POINT (-39.3336913899999985 -12.1839077800000002);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;GOJA-P-312;PG6;P;0,0;0,0;0,0;EXTERNO;16;39 20 01,094 W;12 11 00,819 S;317.77;POINT (-39.3336372200000000 -12.1835608299999993);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;GOJA-P-311;PG6;P;0,0;0,0;0,0;EXTERNO;17;39 20 01,095 W;12 10 59,886 S;307.27;POINT (-39.3336375000000018 -12.1833016700000005);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;GOJA-P-310;PG6;P;0,0;0,0;0,0;EXTERNO;18;39 20 01,301 W;12 10 57,505 S;283.86;POINT (-39.3336947199999969 -12.1826402799999993);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;GOJA-P-309;PG6;P;0,0;0,0;0,0;EXTERNO;19;39 20 01,547 W;12 10 54,963 S;267.53;POINT (-39.3337630600000026 -12.1819341699999999);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;GOJA-M-178;PG6;M;0,0;0,0;0,0;EXTERNO;20;39 20 01,785 W;12 10 52,971 S;261.54;POINT (-39.3338291700000013 -12.1813808300000002);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;CCIM-M-9321;PG6;M;0,004;0,004;0,056;EXTERNO;21;39 20 01,783 W;12 10 52,824 S;262.148;POINT (-39.3338286099999976 -12.1813400000000005);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;CCIM-P-73586;PG6;P;0,003;0,003;0,004;EXTERNO;22;39 19 59,915 W;12 10 52,519 S;257.386;POINT (-39.3333097200000026 -12.1812552800000002);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;CCIM-P-73587;PG6;P;0,003;0,002;0,005;EXTERNO;23;39 19 58,133 W;12 10 52,233 S;253.747;POINT (-39.3328147200000018 -12.1811758300000008);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;CCIM-P-73588;PG6;P;0,003;0,002;0,007;EXTERNO;24;39 19 55,839 W;12 10 51,866 S;252.442;POINT (-39.3321775000000002 -12.1810738900000004);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;CCIM-P-73589;PG6;P;0,003;0,002;0,004;EXTERNO;25;39 19 53,863 W;12 10 51,579 S;248.047;POINT (-39.3316286100000028 -12.1809941700000000);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;CCIM-P-73590;PG6;P;0,003;0,002;0,002;EXTERNO;26;39 19 51,381 W;12 10 51,339 S;249.7;POINT (-39.3309391700000006 -12.1809274999999992);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;CCIM-P-73591;PG6;P;0,003;0,002;0,002;EXTERNO;27;39 19 41,744 W;12 10 50,359 S;261.052;POINT (-39.3282622199999992 -12.1806552799999999);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;CCIM-P-73592;PG6;P;0,003;0,002;0,008;EXTERNO;28;39 19 35,050 W;12 10 49,684 S;261.966;POINT (-39.3264027800000022 -12.1804677800000007);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;CCIM-P-73593;PG6;P;0,003;0,003;0,001;EXTERNO;29;39 19 24,890 W;12 10 48,702 S;262.304;POINT (-39.3235805600000035 -12.1801949999999994);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;CCIM-P-73594;PG6;P;0,003;0,003;0,004;EXTERNO;30;39 19 21,323 W;12 10 48,381 S;267.067;POINT (-39.3225897200000034 -12.1801058300000005);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;CCIM-P-73595;PG6;P;0,003;0,003;0,002;EXTERNO;31;39 19 16,009 W;12 10 48,067 S;284.948;POINT (-39.3211136099999976 -12.1800186099999994);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;CCIM-P-73596;PG6;P;0,003;0,003;0,001;EXTERNO;32;39 19 10,687 W;12 10 48,344 S;285.163;POINT (-39.3196352800000000 -12.1800955599999998);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;CCIM-P-73597;PG6;P;0,003;0,003;0,002;EXTERNO;33;39 19 08,247 W;12 10 48,479 S;284.006;POINT (-39.3189575000000033 -12.1801330599999993);
afc2ea0c-819b-41b4-8ce2-5d1bb28973e5;CCIM-P-73598;PG6;P;0,003;0,003;0,001;EXTERNO;34;39 19 05,119 W;12 10 48,631 S;281.458;POINT (-39.3180886099999967 -12.1801752800000003);
