QRCODE;CODIGO;METODO_POSICIONAMENTO;TIPO_VERTICE;SIGMA_X;SIGMA_Y;SIGMA_Z;LADO;INDICE;X;Y;Z;GEOMETRIA_WKT;
6669c48e-0794-4114-b8bc-cd0c9216a5ff;XMMS-M-0039;PG2;M;0,01;0,01;0,02;EXTERNO;1;39 18 27,528 W;12 11 48,525 S;376.12;POINT (-39.3076466699999969 -12.1968125000000001);
6669c48e-0794-4114-b8bc-cd0c9216a5ff;XMMS-P-0338;PG2;P;0,01;0,01;0,02;EXTERNO;2;39 18 27,311 W;12 11 55,833 S;359.18;POINT (-39.3075863899999973 -12.1988424999999996);
6669c48e-0794-4114-b8bc-cd0c9216a5ff;XMMS-P-0339;PG2;P;0,01;0,01;0,01;EXTERNO;3;39 18 27,303 W;12 12 05,853 S;338.53;POINT (-39.3075841699999984 -12.2016258299999993);
6669c48e-0794-4114-b8bc-cd0c9216a5ff;XMMS-P-0340;PG2;P;0,01;0,01;0,01;EXTERNO;4;39 18 27,205 W;12 12 17,234 S;261.77;POINT (-39.3075569399999978 -12.2047872200000000);
6669c48e-0794-4114-b8bc-cd0c9216a5ff;XMMS-M-0038;PG2;M;0,01;0,01;0,01;EXTERNO;5;39 18 29,314 W;12 12 23,891 S;232.22;POINT (-39.3081427799999972 -12.2066363899999999);
6669c48e-0794-4114-b8bc-cd0c9216a5ff;XMMS-P-0341;PG2;P;0,01;0,01;0,01;EXTERNO;6;39 18 36,757 W;12 12 24,042 S;265.44;POINT (-39.3102102799999997 -12.2066783300000008);
6669c48e-0794-4114-b8bc-cd0c9216a5ff;XMMS-P-0342;PG2;P;0,01;0,01;0,01;EXTERNO;7;39 18 46,894 W;12 12 24,372 S;267.6;POINT (-39.3130261100000027 -12.2067700000000006);
6669c48e-0794-4114-b8bc-cd0c9216a5ff;XMMS-P-0343;PG2;P;0,0;0,0;0,01;EXTERNO;8;39 18 47,769 W;12 12 31,753 S;266.66;POINT (-39.3132691699999981 -12.2088202799999994);
6669c48e-0794-4114-b8bc-cd0c9216a5ff;XMMS-M-00685;PG6;M;0,01;0,01;0,02;EXTERNO;9;39 18 48,405 W;12 12 36,954 S;245.36;POINT (-39.3134458299999991 -12.2102649999999997);
6669c48e-0794-4114-b8bc-cd0c9216a5ff;XMMS-P-02256;PG6;P;0,01;0,01;0,04;EXTERNO;10;39 19 02,224 W;12 12 24,685 S;268.69;POINT (-39.3172844400000017 -12.2068569399999998);
