QRCODE;CODIGO;METODO_POSICIONAMENTO;TIPO_VERTICE;SIGMA_X;SIGMA_Y;SIGMA_Z;LADO;INDICE;X;Y;Z;GEOMETRIA_WKT;
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2339;PG2;P;0,022;0,014;0,015;EXTERNO;1;39 16 33,106 W;12 10 30,687 S;234.053;POINT (-39.2758627799999971 -12.1751908300000000);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2340;PG2;P;0,016;0,01;0,007;EXTERNO;2;39 16 32,878 W;12 10 30,794 S;233.746;POINT (-39.2757994400000001 -12.1752205599999996);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-M-1447;PG2;M;0,013;0,01;0,005;EXTERNO;3;39 16 31,982 W;12 10 30,943 S;232.899;POINT (-39.2755505599999992 -12.1752619400000004);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2341;PG2;P;0,018;0,014;0,012;EXTERNO;4;39 16 31,514 W;12 10 33,585 S;233.282;POINT (-39.2754205600000006 -12.1759958299999997);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2342;PG2;P;0,017;0,015;0,009;EXTERNO;5;39 16 40,135 W;12 10 36,278 S;295.211;POINT (-39.2778152799999987 -12.1767438899999991);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-M-1448;PG2;M;0,015;0,009;0,006;EXTERNO;6;39 16 40,200 W;12 10 38,089 S;304.69;POINT (-39.2778333300000000 -12.1772469399999999);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2343;PG2;P;0,32;0,167;0,158;EXTERNO;7;39 16 39,780 W;12 10 43,600 S;318.522;POINT (-39.2777166699999967 -12.1787777800000008);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-M-1449;PG2;M;0,091;0,064;0,054;EXTERNO;8;39 16 39,751 W;12 10 44,605 S;308.334;POINT (-39.2777086099999977 -12.1790569400000006);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-M-1450;PG2;M;0,286;0,204;0,149;EXTERNO;9;39 16 42,719 W;12 10 44,902 S;302.806;POINT (-39.2785330600000009 -12.1791394400000001);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-M-1451;PG2;M;0,134;0,098;0,055;EXTERNO;10;39 16 45,892 W;12 10 44,930 S;290.3;POINT (-39.2794144399999965 -12.1791472200000008);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2344;PG2;P;0,007;0,006;0,004;EXTERNO;11;39 16 46,987 W;12 10 44,950 S;288.003;POINT (-39.2797186100000033 -12.1791527800000008);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2345;PG2;P;0,042;0,04;0,023;EXTERNO;12;39 16 48,516 W;12 10 45,224 S;283.058;POINT (-39.2801433300000014 -12.1792288899999992);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2346;PG2;P;0,013;0,012;0,007;EXTERNO;13;39 16 48,832 W;12 10 45,385 S;281.385;POINT (-39.2802311100000026 -12.1792736099999992);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2347;PG2;P;0,183;0,189;0,109;EXTERNO;14;39 16 49,327 W;12 10 45,689 S;278.077;POINT (-39.2803686099999965 -12.1793580600000002);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-M-1452;PG2;M;0,061;0,086;0,043;EXTERNO;15;39 16 52,163 W;12 10 48,379 S;253.53;POINT (-39.2811563899999996 -12.1801052799999994);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2348;PG2;P;0,022;0,031;0,021;EXTERNO;16;39 16 53,961 W;12 10 50,380 S;230.819;POINT (-39.2816558299999983 -12.1806611100000008);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2349;PG2;P;0,017;0,019;0,012;EXTERNO;17;39 16 57,019 W;12 10 50,700 S;221.684;POINT (-39.2825052800000023 -12.1807499999999997);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-M-1462;PG2;M;0,069;0,119;0,079;EXTERNO;18;39 16 58,305 W;12 10 50,584 S;223.344;POINT (-39.2828625000000002 -12.1807177800000002);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-M-1463;PG2;M;0,071;0,116;0,065;EXTERNO;19;39 17 3,857 W;12 10 52,944 S;293.725;POINT (-39.2844047199999977 -12.1813733299999996);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2350;PG2;P;0,05;0,085;0,038;EXTERNO;20;39 17 6,775 W;12 10 54,483 S;306.53;POINT (-39.2852152800000027 -12.1818008300000002);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-M-1456;PG2;M;0,007;0,008;0,004;EXTERNO;21;39 17 16,604 W;12 11 0,616 S;357.018;POINT (-39.2879455599999972 -12.1835044400000001);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2351;PG2;P;0,011;0,01;0,005;EXTERNO;22;39 17 22,602 W;12 11 4,294 S;399.149;POINT (-39.2896116699999993 -12.1845261100000002);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-M-1457;PG2;M;0,02;0,013;0,025;EXTERNO;23;39 17 31,319 W;12 11 8,609 S;466.143;POINT (-39.2920330600000014 -12.1857247199999996);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2352;PG2;P;0,039;0,035;0,018;EXTERNO;24;39 17 32,211 W;12 11 8,793 S;480.359;POINT (-39.2922808300000028 -12.1857758300000008);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2353;PG2;P;0,027;0,033;0,015;EXTERNO;25;39 17 38,258 W;12 11 13,097 S;508.354;POINT (-39.2939605600000021 -12.1869713900000001);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2354;PG2;P;0,103;0,113;0,038;EXTERNO;26;39 17 44,972 W;12 11 14,283 S;493.421;POINT (-39.2958255599999973 -12.1873008299999999);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-M-1458;PG2;M;0,016;0,014;0,008;EXTERNO;27;39 17 51,770 W;12 11 13,662 S;435.483;POINT (-39.2977138899999971 -12.1871283300000002);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2355;PG2;P;0,033;0,016;0,007;EXTERNO;28;39 17 58,478 W;12 11 14,602 S;443.909;POINT (-39.2995772200000033 -12.1873894400000005);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2356;PG2;P;0,022;0,076;0,033;EXTERNO;29;39 18 1,177 W;12 11 12,291 S;407.834;POINT (-39.3003269399999979 -12.1867474999999992);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-M-1464;PG2;M;0,011;0,068;0,026;EXTERNO;30;39 18 2,741 W;12 11 7,604 S;351.888;POINT (-39.3007613899999981 -12.1854455599999998);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2357;PG2;P;0,01;0,013;0,007;EXTERNO;31;39 18 5,572 W;12 10 56,813 S;316.427;POINT (-39.3015477799999999 -12.1824480600000005);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-M-1490;PG2;M;0,026;0,032;0,016;EXTERNO;32;39 18 7,861 W;12 10 48,457 S;283.839;POINT (-39.3021836100000002 -12.1801269399999992);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2358;PG2;P;0,081;0,101;0,057;EXTERNO;33;39 18 0,963 W;12 10 48,731 S;267.547;POINT (-39.3002674999999968 -12.1802030600000002);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2359;PG2;P;0,013;0,016;0,009;EXTERNO;34;39 17 56,278 W;12 10 48,944 S;272.145;POINT (-39.2989661100000021 -12.1802622199999995);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2360;PG2;P;0,046;0,053;0,035;EXTERNO;35;39 17 49,903 W;12 10 49,364 S;271.525;POINT (-39.2971952799999968 -12.1803788900000001);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2361;PG2;P;0,074;0,077;0,052;EXTERNO;36;39 17 44,739 W;12 10 49,308 S;271.394;POINT (-39.2957608299999990 -12.1803633300000005);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2362;PG2;P;0,028;0,028;0,014;EXTERNO;37;39 17 41,414 W;12 10 49,095 S;273.541;POINT (-39.2948372199999980 -12.1803041699999994);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2363;PG2;P;0,03;0,044;0,021;EXTERNO;38;39 17 39,153 W;12 10 48,858 S;273.714;POINT (-39.2942091700000020 -12.1802383299999999);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2364;PG2;P;0,028;0,046;0,02;EXTERNO;39;39 17 35,043 W;12 10 47,892 S;267.141;POINT (-39.2930674999999994 -12.1799700000000009);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2365;PG2;P;0,017;0,022;0,09;EXTERNO;40;39 17 26,282 W;12 10 45,417 S;242.159;POINT (-39.2906338900000023 -12.1792824999999993);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2366;PG2;P;0,044;0,067;0,029;EXTERNO;41;39 17 21,006 W;12 10 43,917 S;235.168;POINT (-39.2891683300000025 -12.1788658299999994);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2329;PG2;P;0,042;0,023;0,021;EXTERNO;42;39 17 17,765 W;12 10 42,994 S;231.319;POINT (-39.2882680600000000 -12.1786094400000007);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2330;PG2;P;0,007;0,004;0,003;EXTERNO;43;39 17 11,312 W;12 10 41,269 S;229.559;POINT (-39.2864755599999995 -12.1781302799999995);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2331;PG2;P;0,011;0,009;0,005;EXTERNO;44;39 17 4,524 W;12 10 39,214 S;227.357;POINT (-39.2845900000000015 -12.1775594399999996);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2332;PG2;P;0,012;0,012;0,01;EXTERNO;45;39 16 57,141 W;12 10 37,086 S;232.895;POINT (-39.2825391699999997 -12.1769683299999993);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2333;PG2;P;0,029;0,029;0,024;EXTERNO;46;39 16 50,138 W;12 10 35,041 S;250.827;POINT (-39.2805938899999987 -12.1764002799999993);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2334;PG2;P;0,019;0,019;0,013;EXTERNO;47;39 16 42,011 W;12 10 32,586 S;266.399;POINT (-39.2783363899999998 -12.1757183300000005);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2335;PG2;P;0,017;0,01;0,008;EXTERNO;48;39 16 39,856 W;12 10 31,887 S;259.585;POINT (-39.2777377800000025 -12.1755241699999992);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-M-1446;PG2;M;0,015;0,012;0,011;EXTERNO;49;39 16 37,979 W;12 10 31,408 S;250.045;POINT (-39.2772163899999995 -12.1753911099999996);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2336;PG2;P;0,021;0,012;0,01;EXTERNO;50;39 16 38,041 W;12 10 31,922 S;255.795;POINT (-39.2772336100000032 -12.1755338900000005);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2337;PG2;P;0,331;0,16;0,118;EXTERNO;51;39 16 37,065 W;12 10 31,763 S;249.559;POINT (-39.2769625000000033 -12.1754897199999998);
06e97b87-ace4-49a4-9692-a0cc67171f95;FHT-P-2338;PG2;P;0,007;0,005;0,004;EXTERNO;52;39 16 35,250 W;12 10 31,273 S;241.235;POINT (-39.2764583299999970 -12.1753536100000002);
